Series;series_category
Goods exports (BoP, current US$);BoP, current US$
Service exports (BoP, current US$);BoP, current US$
Charges for the use of intellectual property, receipts (BoP, current US$);BoP, current US$
Exports of goods, services and primary income (BoP, current US$);BoP, current US$
Transport services (% of service exports, BoP);% of service exports, BoP
Travel services (% of service exports, BoP);% of service exports, BoP
Foreign direct investment, net inflows (BoP, current US$);BoP, current US$
Foreign direct investment, net inflows (% of GDP);% of GDP
Portfolio equity, net inflows (BoP, current US$);BoP, current US$
Secondary income receipts (BoP, current US$);BoP, current US$
Personal transfers, receipts (BoP, current US$);BoP, current US$
Personal remittances, received (current US$);current US$
Personal remittances, received (% of GDP);% of GDP
Control of Corruption: Estimate;
Control of Corruption: Number of Sources;
Control of Corruption: Percentile Rank;
Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval;
Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval;
Control of Corruption: Standard Error;
Energy intensity level of primary energy (MJ/$2017 PPP GDP);MJ/$2017 PPP GDP
Access to electricity, rural (% of rural population);% of rural population
Access to electricity, urban (% of urban population);% of urban population
Access to electricity (% of population);% of population
Renewable electricity output (% of total electricity output);% of total electricity output
Renewable energy consumption (% of total final energy consumption);% of total final energy consumption
Bird species, threatened;
Fish species, threatened;
Total greenhouse gas emissions excluding LULUCF (Mt CO2e);Mt CO2e
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita);t CO2e/capita
Methane (CH4) emissions from Building (Energy) (Mt CO2e);CH4
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e);CH4
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e);CH4
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e);CH4
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e);CH4
Methane (CH4) emissions from Transport (Energy) (Mt CO2e);CH4
Methane (CH4) emissions from Waste (Mt CO2e);CH4
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990);CH4
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e);CO2
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e);CO2
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e);CO2
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e);CO2
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);CO2
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);CO2
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e);CO2
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP);kg CO2e per constant 2015 US$ of GDP
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP);kg CO2e per 2021 PPP $ of GDP
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e);CO2
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990);CO2
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e);N2O
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e);N2O
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e);N2O
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e);N2O
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e);N2O
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e);N2O
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e);N2O
Nitrous oxide (N2O) emissions from Waste (Mt CO2e);N2O
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990);N2O
Total greenhouse gas emissions excluding LULUCF (% change from 1990);% change from 1990
Plant species (higher), threatened;higher
Mammal species, threatened;
Population density (people per sq. km of land area);people per sq. km of land area
Rural population living in areas where elevation is below 5 meters (% of total population);% of total population
Urban population living in areas where elevation is below 5 meters (% of total population);% of total population
Population living in areas where elevation is below 5 meters (% of total population);% of total population
Aquaculture production (metric tons);metric tons
Capture fisheries production (metric tons);metric tons
Total fisheries production (metric tons);metric tons
Terrestrial protected areas (% of total land area);% of total land area
Marine protected areas (% of territorial waters);% of territorial waters
Terrestrial and marine protected areas (% of total territorial area);% of total territorial area
Automated teller machines (ATMs) (per 100,000 adults);ATMs
Commercial bank branches (per 100,000 adults);per 100,000 adults
Domestic credit to private sector by banks (% of GDP);% of GDP
Total reserves (includes gold, current US$);includes gold, current US$
Total reserves in months of imports;
Total reserves minus gold (current US$);current US$
Claims on central government (annual growth as % of broad money);annual growth as % of broad money
Net domestic credit (current LCU);current LCU
Net foreign assets (current LCU);current LCU
Monetary Sector credit to private sector (% GDP);% GDP
Claims on private sector (annual growth as % of broad money);annual growth as % of broad money
Broad money (current LCU);current LCU
Broad money (% of GDP);% of GDP
Broad money to total reserves ratio;
Broad money growth (annual %);annual %
Consumer price index (2010 = 100);2010 = 100
Inflation, consumer prices (annual %);annual %
Deposit interest rate (%);%
Lending interest rate (%);%
Interest rate spread (lending rate minus deposit rate, %);lending rate minus deposit rate, %
Real interest rate (%);%
Claims on central government, etc. (% GDP);% GDP
Domestic credit to private sector (% of GDP);% of GDP
Government Effectiveness: Estimate;
Government Effectiveness: Number of Sources;
Government Effectiveness: Percentile Rank;
Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval;
Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval;
Government Effectiveness: Standard Error;
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100);SPI
Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100);SPI
Air transport, registered carrier departures worldwide;
Air transport, passengers carried;
Liner shipping connectivity index (maximum value in 2004 = 100);maximum value in 2004 = 100
Container port traffic (TEU: 20 foot equivalent units);TEU: 20 foot equivalent units
Mobile cellular subscriptions;
Mobile cellular subscriptions (per 100 people);per 100 people
Fixed telephone subscriptions;
Fixed telephone subscriptions (per 100 people);per 100 people
Fixed broadband subscriptions;
Fixed broadband subscriptions (per 100 people);per 100 people
Secure Internet servers;
Secure Internet servers (per 1 million people);per 1 million people
Individuals using the Internet (% of population);% of population
General government final consumption expenditure (current US$);current US$
General government final consumption expenditure (current LCU);current LCU
General government final consumption expenditure (constant 2015 US$);constant 2015 US$
General government final consumption expenditure (% of GDP);% of GDP
Households and NPISHs Final consumption expenditure (current US$);current US$
Households and NPISHs Final consumption expenditure (current LCU);current LCU
Households and NPISHs final consumption expenditure: linked series (current LCU);current LCU
Households and NPISHs Final consumption expenditure (constant 2015 US$);constant 2015 US$
Households and NPISHs Final consumption expenditure per capita (constant 2015 US$);constant 2015 US$
Households and NPISHs Final consumption expenditure, PPP (current international $);current international $
Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $);constant 2021 international $
Households and NPISHs final consumption expenditure (% of GDP);% of GDP
Final consumption expenditure (current US$);current US$
Final consumption expenditure (current LCU);current LCU
Final consumption expenditure (constant 2015 US$);constant 2015 US$
Final consumption expenditure (% of GDP);% of GDP
Gross national expenditure (current US$);current US$
Gross national expenditure (current LCU);current LCU
Gross national expenditure (constant 2015 US$);constant 2015 US$
Gross national expenditure (% of GDP);% of GDP
Exports of goods and services (current US$);current US$
Exports of goods and services (current LCU);current LCU
Exports of goods and services (constant 2015 US$);constant 2015 US$
Exports of goods and services (% of GDP);% of GDP
Gross capital formation (current US$);current US$
Gross capital formation (current LCU);current LCU
Gross capital formation (constant 2015 US$);constant 2015 US$
Gross capital formation (% of GDP);% of GDP
Imports of goods and services (current US$);current US$
Imports of goods and services (current LCU);current LCU
Imports of goods and services (constant 2015 US$);constant 2015 US$
Imports of goods and services (% of GDP);% of GDP
External balance on goods and services (current US$);current US$
External balance on goods and services (current LCU);current LCU
External balance on goods and services (% of GDP);% of GDP
Trade (% of GDP);% of GDP
Agriculture, forestry, and fishing, value added (current US$);current US$
Agriculture, forestry, and fishing, value added (current LCU);current LCU
Agriculture, forestry, and fishing, value added (constant 2015 US$);constant 2015 US$
Agriculture, forestry, and fishing, value added (% of GDP);% of GDP
Manufacturing, value added (current US$);current US$
Manufacturing, value added (current LCU);current LCU
Manufacturing, value added (constant 2015 US$);constant 2015 US$
Manufacturing, value added (% of GDP);% of GDP
Industry (including construction), value added (current US$);including construction
Industry (including construction), value added (current LCU);including construction
Industry (including construction), value added (constant 2015 US$);including construction
Industry (including construction), value added (% of GDP);including construction
Services, value added (current US$);current US$
Services, value added (current LCU);current LCU
Services, value added (constant 2015 US$);constant 2015 US$
Services, value added (% of GDP);% of GDP
Adjusted savings: education expenditure (current US$);current US$
Adjusted savings: education expenditure (% of GNI);% of GNI
Adjusted savings: carbon dioxide damage (current US$);current US$
Adjusted savings: carbon dioxide damage (% of GNI);% of GNI
Adjusted savings: net forest depletion (current US$);current US$
Adjusted savings: net forest depletion (% of GNI);% of GNI
Adjusted savings: consumption of fixed capital (current US$);current US$
Adjusted savings: consumption of fixed capital (% of GNI);% of GNI
Adjusted savings: mineral depletion (current US$);current US$
Adjusted savings: mineral depletion (% of GNI);% of GNI
Adjusted savings: energy depletion (current US$);current US$
Adjusted savings: energy depletion (% of GNI);% of GNI
Adjusted savings: natural resources depletion (% of GNI);% of GNI
Adjusted savings: gross savings (% of GNI);% of GNI
Adjusted savings: net national savings (current US$);current US$
Adjusted savings: net national savings (% of GNI);% of GNI
Adjusted net national income (current US$);current US$
Adjusted net national income (constant 2015 US$);constant 2015 US$
Adjusted net national income per capita (current US$);current US$
Adjusted net national income per capita (constant 2015 US$);constant 2015 US$
Adjusted net savings, excluding particulate emission damage (current US$);current US$
Adjusted net savings, excluding particulate emission damage (% of GNI);% of GNI
Coal rents (% of GDP);% of GDP
Inflation, GDP deflator (annual %);annual %
Inflation, GDP deflator: linked series (annual %);annual %
GDP deflator (base year varies by country);base year varies by country
GDP deflator: linked series (base year varies by country);base year varies by country
Discrepancy in expenditure estimate of GDP (current LCU);current LCU
Gross value added at basic prices (GVA) (current US$);GVA
Gross value added at basic prices (GVA) (current LCU);GVA
Gross value added at basic prices (GVA) (constant 2015 US$);GVA
Forest rents (% of GDP);% of GDP
Mineral rents (% of GDP);% of GDP
GDP (current US$);current US$
GDP (current LCU);current LCU
GDP: linked series (current LCU);current LCU
GDP (constant 2015 US$);constant 2015 US$
GDP growth (annual %);annual %
GDP (constant LCU);constant LCU
GDP, PPP (current international $);current international $
GDP, PPP (constant 2021 international $);constant 2021 international $
Natural gas rents (% of GDP);% of GDP
GDP per capita (current US$);current US$
GDP per capita (current LCU);current LCU
GDP per capita (constant 2015 US$);constant 2015 US$
GDP per capita growth (annual %);annual %
GDP per capita (constant LCU);constant LCU
GDP per capita, PPP (current international $);current international $
GDP per capita, PPP (constant 2021 international $);constant 2021 international $
Oil rents (% of GDP);% of GDP
Total natural resources rents (% of GDP);% of GDP
Gross domestic savings (current US$);current US$
Gross domestic savings (current LCU);current LCU
Gross domestic savings (% of GDP);% of GDP
GNI, Atlas method (current US$);current US$
GNI (current US$);current US$
GNI (current LCU);current LCU
GNI: linked series (current LCU);current LCU
GNI (constant 2015 US$);constant 2015 US$
GNI, PPP (current international $);current international $
GNI, PPP (constant 2021 international $);constant 2021 international $
GNI per capita, Atlas method (current US$);current US$
GNI per capita (current LCU);current LCU
GNI per capita (constant 2015 US$);constant 2015 US$
GNI per capita, PPP (current international $);current international $
GNI per capita, PPP (constant 2021 international $);constant 2021 international $
Gross savings (current US$);current US$
Gross savings (current LCU);current LCU
Gross savings (% of GNI);% of GNI
Gross savings (% of GDP);% of GDP
Net primary income (Net income from abroad) (current US$);Net income from abroad
Net primary income (Net income from abroad) (current LCU);Net income from abroad
Taxes less subsidies on products (current US$);current US$
Taxes less subsidies on products (current LCU);current LCU
Net secondary income (Net current transfers from abroad) (current US$);Net current transfers from abroad
Net secondary income (Net current transfers from abroad) (current LCU);Net current transfers from abroad
DEC alternative conversion factor (LCU per US$);LCU per US$
Official exchange rate (LCU per US$, period average);LCU per US$, period average
PPP conversion factor, GDP (LCU per international $);LCU per international $
Price level ratio of PPP conversion factor (GDP) to market exchange rate;GDP
PPP conversion factor, private consumption (LCU per international $);LCU per international $
Political Stability and Absence of Violence/Terrorism: Estimate;
Political Stability and Absence of Violence/Terrorism: Number of Sources;
Political Stability and Absence of Violence/Terrorism: Percentile Rank;
Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval;
Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval;
Political Stability and Absence of Violence/Terrorism: Standard Error;
Rule of Law: Estimate;
Rule of Law: Number of Sources;
Rule of Law: Percentile Rank;
Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval;
Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval;
Rule of Law: Standard Error;
Regulatory Quality: Estimate;
Regulatory Quality: Number of Sources;
Regulatory Quality: Percentile Rank;
Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval;
Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval;
Regulatory Quality: Standard Error;
Literacy rate, youth female (% of females ages 15-24);% of females ages 15-24
Literacy rate, youth (ages 15-24), gender parity index (GPI);ages 15-24
Literacy rate, youth male (% of males ages 15-24);% of males ages 15-24
Literacy rate, youth total (% of people ages 15-24);% of people ages 15-24
Literacy rate, adult female (% of females ages 15 and above);% of females ages 15 and above
Literacy rate, adult male (% of males ages 15 and above);% of males ages 15 and above
Literacy rate, adult total (% of people ages 15 and above);% of people ages 15 and above
Compulsory education, duration (years);years
School enrollment, primary (gross), gender parity index (GPI);gross
School enrollment, tertiary (gross), gender parity index (GPI);gross
Preprimary education, duration (years);years
School enrollment, preprimary (% gross);% gross
School enrollment, preprimary, female (% gross);% gross
School enrollment, preprimary, male (% gross);% gross
Primary school starting age (years);years
Primary completion rate, female (% of relevant age group);% of relevant age group
Primary completion rate, male (% of relevant age group);% of relevant age group
Primary completion rate, total (% of relevant age group);% of relevant age group
Primary education, duration (years);years
Primary education, pupils;
Primary education, pupils (% female);% female
School enrollment, primary (% gross);% gross
School enrollment, primary, female (% gross);% gross
School enrollment, primary, male (% gross);% gross
Gross intake ratio in first grade of primary education, female (% of relevant age group);% of relevant age group
Gross intake ratio in first grade of primary education, male (% of relevant age group);% of relevant age group
Gross intake ratio in first grade of primary education, total (% of relevant age group);% of relevant age group
School enrollment, primary (% net);% net
Over-age students, primary, female (% of female enrollment);% of female enrollment
Over-age students, primary, male (% of male enrollment);% of male enrollment
Over-age students, primary (% of enrollment);% of enrollment
School enrollment, primary, private (% of total primary);% of total primary
Persistence to grade 5, female (% of cohort);% of cohort
Persistence to grade 5, male (% of cohort);% of cohort
Persistence to grade 5, total (% of cohort);% of cohort
Persistence to last grade of primary, female (% of cohort);% of cohort
Persistence to last grade of primary, male (% of cohort);% of cohort
Persistence to last grade of primary, total (% of cohort);% of cohort
Repeaters, primary, female (% of female enrollment);% of female enrollment
Repeaters, primary, male (% of male enrollment);% of male enrollment
Repeaters, primary, total (% of total enrollment);% of total enrollment
Primary education, teachers;
Primary education, teachers (% female);% female
Adjusted net enrollment rate, primary (% of primary school age children);% of primary school age children
Children out of school, primary;
Children out of school (% of primary school age);% of primary school age
Lower secondary school starting age (years);years
Lower secondary completion rate, female (% of relevant age group);% of relevant age group
Lower secondary completion rate, male (% of relevant age group);% of relevant age group
Lower secondary completion rate, total (% of relevant age group);% of relevant age group
Secondary education, duration (years);years
Secondary education, pupils;
Secondary education, general pupils;
Secondary education, general pupils (% female);% female
School enrollment, secondary (% gross);% gross
School enrollment, secondary, female (% gross);% gross
School enrollment, secondary, male (% gross);% gross
Secondary education, teachers;
Pupil-teacher ratio, tertiary;
School enrollment, tertiary (% gross);% gross
School enrollment, tertiary, female (% gross);% gross
School enrollment, tertiary, male (% gross);% gross
Tertiary education, academic staff (% female);% female
Current education expenditure, primary (% of total expenditure in primary public institutions);% of total expenditure in primary public institutions
Current education expenditure, secondary (% of total expenditure in secondary public institutions);% of total expenditure in secondary public institutions
Current education expenditure, tertiary (% of total expenditure in tertiary public institutions);% of total expenditure in tertiary public institutions
Current education expenditure, total (% of total expenditure in public institutions);% of total expenditure in public institutions
Government expenditure per student, primary (% of GDP per capita);% of GDP per capita
Expenditure on primary education (% of government expenditure on education);% of government expenditure on education
Expenditure on secondary education (% of government expenditure on education);% of government expenditure on education
Government expenditure per student, tertiary (% of GDP per capita);% of GDP per capita
Expenditure on tertiary education (% of government expenditure on education);% of government expenditure on education
Government expenditure on education, total (% of government expenditure);% of government expenditure
Government expenditure on education, total (% of GDP);% of GDP
People using at least basic drinking water services (% of population);% of population
People using at least basic sanitation services (% of population);% of population
Diabetes prevalence (% of population ages 20 to 79);% of population ages 20 to 79
People practicing open defecation (% of population);% of population
Tuberculosis case detection rate (%, all forms);%, all forms
Incidence of tuberculosis (per 100,000 people);per 100,000 people
Net migration;
International migrant stock, total;
International migrant stock (% of population);% of population
Adolescent fertility rate (births per 1,000 women ages 15-19);births per 1,000 women ages 15-19
Mortality rate, adult, female (per 1,000 female adults);per 1,000 female adults
Mortality rate, adult, male (per 1,000 male adults);per 1,000 male adults
Birth rate, crude (per 1,000 people);per 1,000 people
Death rate, crude (per 1,000 people);per 1,000 people
Life expectancy at birth, female (years);years
Life expectancy at birth, total (years);years
Life expectancy at birth, male (years);years
Fertility rate, total (births per woman);births per woman
Survival to age 65, female (% of cohort);% of cohort
Survival to age 65, male (% of cohort);% of cohort
Population ages 00-04, female (% of female population);% of female population
Population ages 00-04, male (% of male population);% of male population
Population ages 0-14, female;
Population ages 0-14, female (% of female population);% of female population
Population ages 0-14, male;
Population ages 0-14, male (% of male population);% of male population
Population ages 0-14, total;
Population ages 0-14 (% of total population);% of total population
Population ages 05-09, female (% of female population);% of female population
Population ages 05-09, male (% of male population);% of male population
Population ages 10-14, female (% of female population);% of female population
Population ages 10-14, male (% of male population);% of male population
Population ages 15-19, female (% of female population);% of female population
Population ages 15-19, male (% of male population);% of male population
Population ages 15-64, female;
Population ages 15-64, female (% of female population);% of female population
Population ages 15-64, male;
Population ages 15-64, male (% of male population);% of male population
Population ages 15-64, total;
Population ages 15-64 (% of total population);% of total population
Population ages 20-24, female (% of female population);% of female population
Population ages 20-24, male (% of male population);% of male population
Population ages 25-29, female (% of female population);% of female population
Population ages 25-29, male (% of male population);% of male population
Population ages 30-34, female (% of female population);% of female population
Population ages 30-34, male (% of male population);% of male population
Population ages 35-39, female (% of female population);% of female population
Population ages 35-39, male (% of male population);% of male population
Population ages 40-44, female (% of female population);% of female population
Population ages 40-44, male (% of male population);% of male population
Population ages 45-49, female (% of female population);% of female population
Population ages 45-49, male (% of male population);% of male population
Population ages 50-54, female (% of female population);% of female population
Population ages 50-54, male (% of male population);% of male population
Population ages 55-59, female (% of female population);% of female population
Population ages 55-59, male (% of male population);% of male population
Population ages 60-64, female (% of female population);% of female population
Population ages 60-64, male (% of male population);% of male population
Population ages 65-69, female (% of female population);% of female population
Population ages 65-69, male (% of male population);% of male population
Population ages 65 and above, female;
Population ages 65 and above, female (% of female population);% of female population
Population ages 65 and above, male;
Population ages 65 and above, male (% of male population);% of male population
Population ages 65 and above, total;
Population ages 65 and above (% of total population);% of total population
Population ages 70-74, female (% of female population);% of female population
Population ages 70-74, male (% of male population);% of male population
Population ages 75-79, female (% of female population);% of female population
Population ages 75-79, male (% of male population);% of male population
Population ages 80 and above, female (% of female population);% of female population
Population ages 80 and above, male (% of male population);% of male population
Sex ratio at birth (male births per female births);male births per female births
Age dependency ratio (% of working-age population);% of working-age population
Age dependency ratio, old (% of working-age population);% of working-age population
Age dependency ratio, young (% of working-age population);% of working-age population
Population growth (annual %);annual %
Population, total;
Population, female;
Population, female (% of total population);% of total population
Population, male;
Population, male (% of total population);% of total population
Rural population;
Rural population growth (annual %);annual %
Rural population (% of total population);% of total population
Urban population growth (annual %);annual %
Urban population;
Urban population (% of total population);% of total population
International tourism, number of arrivals;
International tourism, receipts (current US$);current US$
International tourism, receipts (% of total exports);% of total exports
International tourism, receipts for passenger transport items (current US$);current US$
International tourism, expenditures for passenger transport items (current US$);current US$
International tourism, receipts for travel items (current US$);current US$
International tourism, expenditures for travel items (current US$);current US$
International tourism, expenditures (current US$);current US$
International tourism, expenditures (% of total imports);% of total imports
Merchandise trade (% of GDP);% of GDP
Import volume index (2015 = 100);2015 = 100
Share of tariff lines with international peaks, manufactured products (%);%
Tariff rate, applied, simple mean, manufactured products (%);%
Tariff rate, most favored nation, simple mean, manufactured products (%);%
Share of tariff lines with specific rates, manufactured products (%);%
Tariff rate, applied, weighted mean, manufactured products (%);%
Tariff rate, most favored nation, weighted mean, manufactured products (%);%
Share of tariff lines with international peaks, all products (%);%
Tariff rate, applied, simple mean, all products (%);%
Tariff rate, most favored nation, simple mean, all products (%);%
Share of tariff lines with specific rates, all products (%);%
Tariff rate, applied, weighted mean, all products (%);%
Tariff rate, most favored nation, weighted mean, all products (%);%
Share of tariff lines with international peaks, primary products (%);%
Tariff rate, applied, simple mean, primary products (%);%
Tariff rate, most favored nation, simple mean, primary products (%);%
Share of tariff lines with specific rates, primary products (%);%
Tariff rate, applied, weighted mean, primary products (%);%
Tariff rate, most favored nation, weighted mean, primary products (%);%
Import unit value index (2015 = 100);2015 = 100
Agricultural raw materials imports (% of merchandise imports);% of merchandise imports
Food imports (% of merchandise imports);% of merchandise imports
Fuel imports (% of merchandise imports);% of merchandise imports
ICT goods imports (% total goods imports);% total goods imports
Insurance and financial services (% of commercial service imports);% of commercial service imports
Manufactures imports (% of merchandise imports);% of merchandise imports
Ores and metals imports (% of merchandise imports);% of merchandise imports
Merchandise imports from economies in the Arab World (% of total merchandise imports);% of total merchandise imports
Merchandise imports (current US$);current US$
Merchandise imports from high-income economies (% of total merchandise imports);% of total merchandise imports
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports);% of total merchandise imports
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports);% of total merchandise imports
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports);% of total merchandise imports
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports);% of total merchandise imports
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports);% of total merchandise imports
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports);% of total merchandise imports
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports);% of total merchandise imports
Merchandise imports by the reporting economy, residual (% of total merchandise imports);% of total merchandise imports
Merchandise imports by the reporting economy (current US$);current US$
Import value index (2015 = 100);2015 = 100
Computer, communications and other services (% of commercial service imports);% of commercial service imports
Commercial service imports (current US$);current US$
Transport services (% of commercial service imports);% of commercial service imports
Travel services (% of commercial service imports);% of commercial service imports
Net barter terms of trade index (2015 = 100);2015 = 100
Export volume index (2015 = 100);2015 = 100
Export unit value index (2015 = 100);2015 = 100
Agricultural raw materials exports (% of merchandise exports);% of merchandise exports
Food exports (% of merchandise exports);% of merchandise exports
Fuel exports (% of merchandise exports);% of merchandise exports
ICT goods exports (% of total goods exports);% of total goods exports
Insurance and financial services (% of commercial service exports);% of commercial service exports
Manufactures exports (% of merchandise exports);% of merchandise exports
Ores and metals exports (% of merchandise exports);% of merchandise exports
Merchandise exports to economies in the Arab World (% of total merchandise exports);% of total merchandise exports
Merchandise exports (current US$);current US$
Merchandise exports to high-income economies (% of total merchandise exports);% of total merchandise exports
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports);% of total merchandise exports
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports);% of total merchandise exports
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports);% of total merchandise exports
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports);% of total merchandise exports
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports);% of total merchandise exports
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports);% of total merchandise exports
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports);% of total merchandise exports
Merchandise exports by the reporting economy, residual (% of total merchandise exports);% of total merchandise exports
Merchandise exports by the reporting economy (current US$);current US$
Export value index (2015 = 100);2015 = 100
Computer, communications and other services (% of commercial service exports);% of commercial service exports
Commercial service exports (current US$);current US$
High-technology exports (current US$);current US$
High-technology exports (% of manufactured exports);% of manufactured exports
Transport services (% of commercial service exports);% of commercial service exports
Travel services (% of commercial service exports);% of commercial service exports
Voice and Accountability: Estimate;
Voice and Accountability: Number of Sources;
Voice and Accountability: Percentile Rank;
Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval;
Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval;
Voice and Accountability: Standard Error;
Intentional homicides, female (per 100,000 female);per 100,000 female
Intentional homicides, male (per 100,000 male);per 100,000 male
Intentional homicides (per 100,000 people);per 100,000 people
Fertilizer consumption (% of fertilizer production);% of fertilizer production
Land under cereal production (hectares);hectares
Permanent cropland (% of land area);% of land area
Cereal production (metric tons);metric tons
Crop production index (2014-2016 = 100);2014-2016 = 100
Food production index (2014-2016 = 100);2014-2016 = 100
Livestock production index (2014-2016 = 100);2014-2016 = 100
Cereal yield (kg per hectare);kg per hectare
Stocks traded, turnover ratio of domestic shares (%);%
Net bilateral aid flows from DAC donors, Australia (current US$);current US$
